,ID,SMILES,Group,Source,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
33,34,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
34,35,CC[C@H](C)[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,Peptide,CycPeptMPDB,18,3,3,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC1=O,0.5,1.0
35,36,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
36,37,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
37,38,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
38,39,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,C=C(CC1C(=O)NC(C)C(=O)N2CCCC2C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C)C(=O)N(C)C(C)C(=O)N1C)c1ccccc1,0.3333333333333333,1.0
39,40,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
40,41,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
41,42,CNCCCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,Peptide,CycPeptMPDB,18,3,3,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC1=O,0.5,1.0
42,43,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2CCCCC2)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CCCCCC1C(=O)NC(C)C(=O)N2CCCC2C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C)C(=O)N(C)C(C)C(=O)N1C,0.3333333333333333,1.0
