ID,Macrocycle_Free_Amide_Ratio,Peptidic_Type
MC-0286,0.286,Non
MC-0287,0,Non
MC-0288,0,Non
MC-0289,0,Non
MC-0290,0.286,Non
MC-0291,0,Non
MC-0292,0,Non
MC-0293,0,Non
MC-0294,0,Non
MC-0295,0,Non
MC-0296,0.154,Non
MC-0297,0,Non
MC-0298,0,Non
MC-0299,0,Non
MC-0300,0,Non
MC-0301,0,Non
MC-0302,0,Non
MC-0303,0,Non
MC-0304,0,Non
MC-0305,0,Non
MC-0306,0.267,Non
MC-0307,0,Non
MC-0308,0,Non
MC-0309,0,Non
MC-0310,0,Non
MC-0311,0,Non
MC-0312,0,Non
MC-0313,0.154,Non
MC-0314,0,Non
MC-0315,0,Non
MC-0316,0,Non
MC-0317,0,Non
MC-0318,0,Non
MC-0319,0.286,Non
MC-0320,0.286,Non
MC-0321,0,Non
MC-0322,0,Non
MC-0323,0.154,Non
MC-0324,0.429,Semi
MC-0325,0,Non
MC-0326,0.429,Semi
MC-0327,0,Non
MC-0328,0.154,Non
MC-0329,0,Non
MC-0330,0.286,Non
MC-0331,0,Non
MC-0332,0,Non
MC-0333,0.4,Semi
MC-0334,0.286,Non
MC-0335,0,Non
MC-0336,0.353,Semi
MC-0337,0,Non
MC-0338,0,Non
MC-0339,0,Non
MC-0340,0,Non
MC-0341,0.4,Semi
