SMILES,Sample_Type
O=C1[C@@H](NC([C@@H](N(C)C([C@H](CC2=CC=C(O)C=C2)N(C)C([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](N(C)C([C@H](CC2=CC=C(O)C=C2)NC([C@@H](N(C)CCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](NC([C@H](CC2=CC=C(O)C=C2)N(C)C([C@@H](N(C)CCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](NC([C@H](CC2=CC=C(OC)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](N(C)C([C@@H](CC2=CC=C(O)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
CN(CC(N[C@H]1CC2=CC=CC=C2)=O)C([C@@H](NC([C@H](CC(C)C)NCCCCNC1=O)=O)CC(C=C3)=CC=C3O)=O,Semi Peptide
O=C1[C@@H](NC([C@H](N(C)C([C@@H](CC2=CC=C(OC(C)(C)C)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](N(C)C([C@@H](CC2=CC=C(OC(C)(C)C)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@@H](NC([C@@H](CC2=CC=C(OC(C)(C)C)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)C)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC(CN(C)C([C@@H](CC2=CC=C(OC(C)(C)C)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@H](C)N(C)C([C@H](CC2=CC=C(OC)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=C(OC)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=CC=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,Semi Peptide
O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=C(C(F)(F)F)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](C)C(N(C)[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N(C)[C@@H](C)C(N[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,Semi Peptide
O=C([C@@H](NCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H]1C)=O)CC2=CC=CC=C2)N[C@@H](CC(C)C)C(N1)=O,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H]1CC(C)C)=O)C)N[C@@H](CC2=CC=CC=C2)C(N1)=O,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H]1CC2=CC=CC=C2)=O)C)N[C@@H](CC(C)C)C(N1)=O,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H]1C)=O)CC(C)C)N[C@@H](CC2=CC=CC=C2)C(N1)=O,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H]1CC2=CC=CC=C2)=O)CC(C)C)N[C@@H](C)C(N1)=O,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@H](NCCCCCCNC([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@H](NCCCCCCNC([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC(CN1CC(C)C)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N(C)[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N(C)CC1=O,Semi Peptide
O=C([C@@H](N(C)CCCCCCNC([C@@H]1CC(C)C)=O)CC2=CC=CC=C2)N[C@H](C(N1)=O)C,Semi Peptide
